title,url,discount,actual
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask HHI-581539,transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200336.html,$2.81,$3.45 
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor RTH-577401,100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-201640.html,$8.97,$14.79 
TWS F9 Bluetooth Earphone Touch Wireless Headphones 8D Stereo Sports Earbuds EEP-582910,tws-f9-bluetooth-earphone-touch-wireless-headphones-8d-stereo-sports-earbuds-p-200780.html,$11.99,$23.87 
Fsat Quick Charge 3.0 4.0 QC3.0 Fast Charging Tablet Wall Adapter HHITH-582324,fsat-quick-charge-30-40-qc30-fast-charging-tablet-wall-adapter-p-201049.html,$3.72,$6.70 
10 x Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask KB-581546,10-x-transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-200338.html,$13.74,$24.46 
Mini Airtight Sealer Machine for Plastic Bag - Assorted Color HLI-48626,mini-airtight-sealer-machine-for-plastic-bag-assorted-color-p-39392.html,$2.50,$5.82 
Wireless Headphones Bluetooth 5.0 Foldable Stereo Adjustable Earphones RTH-578691,wireless-headphones-bluetooth-50-foldable-stereo-adjustable-earphones-p-201646.html,$14.90,$21.61 
X96Q Android 10.0 TV Box Quad Core Allwinner H313 4K TV Box 2GB RAM 16GB ROM E-581778,x96q-android-100-tv-box-quad-core-allwinner-h313-4k-tv-box-2gb-ram-16gb-rom-p-201107.html,$30.95,$43.33 
Air Circulation Fan Mute Desktop Fans Atmosphere Ventilation Electric Fan HHI-581327,air-circulation-fan-mute-desktop-fans-atmosphere-ventilation-electric-fan-p-200717.html,$19.09,$34.36 
Wireless Earphones TWS Wireless Bluetooth 5.0 LED Display Waterproof Headphone EEP-580809,wireless-earphones-tws-wireless-bluetooth-50-led-display-waterproof-headphone-p-201417.html,$15.89,$17.48 
Silicone Nipple Cover Stickers Adhesive Bra Reusable Invisible Nipple Cover HHI-550767,silicone-nipple-cover-stickers-adhesive-bra-reusable-invisible-nipple-cover-p-175493.html,$1.98,$2.38 
Fashion N69 Smart Bracelet Sport Watch Blood Pressure Heart Rate Fitness Tracker E-544393,fashion-n69-smart-bracelet-sport-watch-blood-pressure-heart-rate-fitness-tracker-p-173351.html,$9.26,$58.22 
